country,registry_country_name,squad_collection_status,players_in_registry,source_name,source_url,created_at
New Zealand,New Zealand,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Austria,Austria,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Belgium,Belgium,Announced squad,26,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Bosnia and Herzegovina,Bosnia and Herzegovina,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Croatia,Croatia,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Czech Republic,Czech Republic,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
England,England,Announced squad,26,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
France,France,Announced squad,26,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Germany,Germany,Announced squad,25,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Netherlands,Netherlands,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Norway,Norway,Announced squad,26,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Portugal,Portugal,Announced squad,27,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Scotland,Scotland,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Spain,Spain,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Sweden,Sweden,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Switzerland,Switzerland,Announced squad,26,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
Turkey,Turkey,Pending / not captured in v1,0,Sky Sports World Cup 2026 squad lists,https://www.skysports.com/football/news/11095/13543070/world-cup-2026-squad-lists-england-scotland-brazil-usa-spain-france-germany-netherlands-argentina-portugal-and-more,2026-05-23
