country,squad_data_status,squad_status_available,star_player_layer_available,source,notes
Paraguay,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Australia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Türkiye,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Germany,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Curaçao,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Côte d'Ivoire,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Ecuador,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Netherlands,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Japan,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Sweden,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Tunisia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Belgium,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Egypt,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
IR Iran,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
New Zealand,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Spain,Not populated yet,Announcement scheduled,Yes,https://rfef.es/en/noticias/Luis-de-la-Fuente-to-Announce-Spains-World-Cup-Squad-on-Monday-25-May,RFEF says Spain will announce a 26-man squad on 25 May 2026.
Cabo Verde,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Saudi Arabia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Uruguay,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
France,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Senegal,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Iraq,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Norway,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Argentina,Not populated yet,No public squad rows in current file,Yes,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Algeria,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Austria,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Jordan,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Portugal,Populated,Provisional,Yes,https://www.dazn.com/en-GB/news/football/portugal-squad-list-fifa-world-cup-26-captains-jersey-numbers-luis-roberto-martinez-coaching-staff/1hs2vchyeshz10nxs8fh6k5rr,DAZN list reports a provisional 27-player Portugal squad and notes final squad to come later.
Congo DR,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Uzbekistan,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Colombia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
England,Populated,Final,Yes,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,Official FA source lists the 26-player squad.
Croatia,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Ghana,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
Panama,Not populated yet,No public squad rows in current file,No,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/all-world-cup-squad-announcements,Use form pool and star layer if available; do not claim squad selection.
